Model,Feature_set,Param_space,Gene,train_statistic,test_statistic,train_P_value,test_P_value,test_Mean_Squared_Error,train_Mean_Squared_Error,n_trials,Total_train,Total_test,random_state,n_alphas,fit_intercept
RandomForestRegressor,Featset1,Original,SCN9A,0.4454724585416611,0.07346649257075374,3.192382190583447e-09,0.5145281334148246,0.06597707693611014,0.04513409929078795,10,161,81,975,28,True
RandomForestRegressor,Featset1,Original,SCN9A,0.373553849186189,0.21590521372379895,1.0565751052996603e-06,0.05288690962286909,0.0637513298248694,0.04861374938783173,10,161,81,92,77,True
RandomForestRegressor,Featset1,Original,SCN9A,0.3507106468601376,0.4017818835547516,5.089504782108722e-06,0.00020097567984881954,0.04061183924528857,0.0519548368485642,10,161,81,303,28,True
RandomForestRegressor,Featset1,Original,SCN9A,,,,,0.0578586246466089,0.06329489170616925,10,161,81,436,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.2949962121421609,0.1695931005648821,0.0001453935347536768,0.13012686593980707,0.06380117584316122,0.0540773013703688,10,161,81,32,28,True
RandomForestRegressor,Featset1,Original,SCN9A,0.3593095650432867,0.1278077262468552,2.856406814097322e-06,0.2555125714461597,0.05563211746679392,0.05349370126578417,10,161,81,153,27,True
RandomForestRegressor,Featset1,Original,SCN9A,0.30728739056187115,0.36002155138443137,7.338786295318903e-05,0.000962467440743763,0.057709768867770864,0.054091748794935675,10,161,81,551,77,True
RandomForestRegressor,Featset1,Original,SCN9A,0.2557996189928234,0.2186668733566973,0.0010562200439183515,0.04985361230333906,0.04702455680965882,0.05397273932969821,10,161,81,461,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.4022205809096121,0.09198828458708984,1.2302397710432415e-07,0.41406531516074824,0.0796472439757931,0.043246974435087626,10,161,81,791,28,True
RandomForestRegressor,Featset1,Original,SCN9A,0.3901456756357308,0.12485443458846862,3.12021805884658e-07,0.26675052035592633,0.06648337438980914,0.04869970672986632,10,161,81,737,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.31534541215627976,0.18848405675911734,4.6100674601946505e-05,0.09196336635286413,0.060471425737424055,0.04874868491575611,10,161,81,876,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.371765138907012,0.18930324378255692,1.2002701094430684e-06,0.09053359951632206,0.06693713105668946,0.053164294727882616,10,161,81,178,27,True
RandomForestRegressor,Featset1,Original,SCN9A,0.31098141135306073,0.2276276715425802,5.939935120299677e-05,0.04098118392510734,0.052216078523223415,0.05753774438605562,10,161,81,344,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.360399417098437,0.20211932504245886,2.651553243141031e-06,0.0703693703593029,0.048091047851028336,0.05321971083822617,10,161,81,873,28,True
RandomForestRegressor,Featset1,Original,SCN9A,0.3227131900453312,0.12515076033367326,2.9781957747591397e-05,0.26560811605717527,0.0755890229915155,0.047749691154833976,10,161,81,99,28,True
RandomForestRegressor,Featset1,Original,SCN9A,0.39612057667016803,0.256117864217668,1.9778282904585496e-07,0.021006278396324223,0.050659059020059,0.05253374077606976,10,161,81,519,77,True
RandomForestRegressor,Featset1,Original,SCN9A,0.10129740171209609,0.058816873364021846,0.20103920231590988,0.601965483711899,0.06131526851428961,0.06270153702829909,10,161,81,666,92,False
RandomForestRegressor,Featset1,Original,SCN9A,0.36122228117731386,0.16073370749902016,2.5062200296169754e-06,0.15172704467798218,0.06859109189166482,0.05105026344941461,10,161,81,681,27,True
RandomForestRegressor,Featset1,Original,SCN9A,0.3131680327573107,0.33700214088055436,5.2341001893548285e-05,0.0020951435014643777,0.057077835084704515,0.05582195336879418,10,161,81,839,97,True
RandomForestRegressor,Featset1,Original,SCN9A,0.043381098164639025,0.0861528096111025,0.5847822257105303,0.44442208246763276,0.06479702749667375,0.061896101823521565,10,161,81,832,19,False
RandomForestRegressor,Featset1,Original,SCN9A,,,,,0.06411912937578468,0.060068120530469754,10,161,81,151,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.28764279978638246,0.20910956069466818,0.00021573237572525728,0.0609987806424277,0.0561623135594789,0.058901457570523244,10,161,81,318,27,True
RandomForestRegressor,Featset1,Original,SCN9A,0.36209619706514795,0.30312383072753113,2.360177030268993e-06,0.005945908502042257,0.03682085290587938,0.05911129786256296,10,161,81,493,97,True
RandomForestRegressor,Featset1,Original,SCN9A,0.3657580873962078,0.07436716497346536,1.8316691344513362e-06,0.5093718101873225,0.0550484756025093,0.0538017177672177,10,161,81,391,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.1837661739873027,-0.06580913827690267,0.019623429137899582,0.5594155563370861,0.06762005959358285,0.06000894748714624,10,161,81,390,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.1952709791143895,0.18747203144565533,0.013051913744620808,0.09375420487144635,0.04739428704528824,0.0573341668687728,10,161,81,399,28,True
RandomForestRegressor,Featset1,Original,SCN9A,0.3474016683141593,0.1493087261925859,6.328014935673022e-06,0.18339860422617676,0.061430432034477164,0.054851395448646825,10,161,81,292,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.15376396915697194,-0.0004948332674355979,0.05148185969543348,0.9965018629612743,0.06401728099148808,0.06433335317909367,10,161,81,937,92,False
RandomForestRegressor,Featset1,Original,SCN9A,0.3640894288186189,0.05864784257732235,2.0567666894191823e-06,0.6030115729530531,0.0657678555006492,0.05293075187375379,10,161,81,460,97,True
RandomForestRegressor,Featset1,Original,SCN9A,0.07535403496367747,0.07133024470573965,0.3420934512988201,0.5268636270469961,0.06697191156060421,0.06061073773542689,10,161,81,968,92,False
RandomForestRegressor,Featset1,Original,SCN9A,0.24918488932074156,0.10317787643564404,0.0014345831004141333,0.3593432146580631,0.05782627395249637,0.05349219133085145,10,161,81,212,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.19669346873090338,-0.03699588439337445,0.01239155431549898,0.7429872300027826,0.06232736609015894,0.055031621156142796,10,161,81,588,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.12153757095310262,-0.0406821942367659,0.12458206616411366,0.7183998003890173,0.0666253454159878,0.060947990691075225,10,161,81,778,45,False
RandomForestRegressor,Featset1,Original,SCN9A,0.3910836778741248,0.1978787134193586,2.9064244428185856e-07,0.07659685341867777,0.06700468865523927,0.049606046314043827,10,161,81,505,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.1586742094053434,0.20739690366547098,0.044387025944463226,0.0631951943244902,0.042377662075913355,0.06462259284472543,10,161,81,617,92,False
RandomForestRegressor,Featset1,Original,SCN9A,0.3711211130891099,0.18771580471225216,1.2564264253475882e-06,0.09332034542603666,0.05909345917714462,0.05574028722917525,10,161,81,106,28,True
RandomForestRegressor,Featset1,Original,SCN9A,0.35414642688910025,0.19386356563065835,4.048761987658723e-06,0.08289211360787299,0.04704353913671706,0.05612897330365954,10,161,81,211,77,True
RandomForestRegressor,Featset1,Original,SCN9A,0.3675072163531146,0.3020345591719989,1.620978559967461e-06,0.0061369115435155495,0.06721904080109097,0.05029409701509009,10,161,81,12,77,True
RandomForestRegressor,Featset1,Original,SCN9A,0.3891629272210893,0.18721101519481564,3.360307904227018e-07,0.09422051028346272,0.05308642531774363,0.05217043561431312,10,161,81,372,28,True
RandomForestRegressor,Featset1,Original,SCN9A,0.2832650317308709,0.23855426950768285,0.0002714861421590436,0.031977999543619434,0.05960545241575947,0.051560129560227895,10,161,81,587,28,True
RandomForestRegressor,Featset1,Original,SCN9A,0.3459886983244563,0.04120917205297412,6.939596494721181e-06,0.7149074701935317,0.06858514532397676,0.053697461504485434,10,161,81,266,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.31764116431020023,0.3430743985465424,4.028200519587287e-05,0.0017160685863704382,0.056861779677773804,0.04974082315228653,10,161,81,474,77,True
